Filename                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/t_crl.i                                                33                33     0.00%           2                 2     0.00%          60                60     0.00%          14                14     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/t_pkey.i                                               49                49     0.00%           1                 1     0.00%          43                43     0.00%          34                34     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/t_req.i                                               162               162     0.00%           3                 3     0.00%         167               167     0.00%          94                94     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/t_spki.i                                               20                20     0.00%           1                 1     0.00%          33                33     0.00%          14                14     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/t_x509.i                                              361               361     0.00%          12                12     0.00%         378               378     0.00%         260               260     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/t_x509a.i                                              44                44     0.00%           1                 1     0.00%          49                49     0.00%          22                22     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/tasn_dec.i                                            560               369    34.11%          13                 5    61.54%         772               519    32.77%         424               318    25.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/tasn_enc.i                                            327               141    56.88%          10                 3    70.00%         385               140    63.64%         246               115    53.25%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/tasn_fre.i                                            108                30    72.22%           6                 0   100.00%         149                36    75.84%          90                26    71.11%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/tasn_new.i                                            162                64    60.49%           8                 0   100.00%         213                93    56.34%         140                67    52.14%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/tasn_prn.i                                            314               314     0.00%          21                21     0.00%         391               391     0.00%         244               244     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/tasn_typ.i                                             80                79     1.25%          80                79     1.25%         261               258     1.15%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/tasn_utl.i                                             79                36    54.43%          10                 2    80.00%         121                51    57.85%          52                28    46.15%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_algor.i                                              53                53     0.00%          11                11     0.00%          79                79     0.00%          34                34     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_attrib.i                                             29                29     0.00%           6                 6     0.00%          38                38     0.00%          12                12     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_bignum.i                                             29                16    44.83%           4                 1    75.00%          44                24    45.45%          18                13    27.78%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_crl.i                                               261               261     0.00%          30                30     0.00%         321               321     0.00%         136               136     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_exten.i                                               7                 6    14.29%           7                 6    14.29%          23                20    13.04%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_info.i                                               15                15     0.00%           2                 2     0.00%          31                31     0.00%          10                10     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_long.i                                               45                29    35.56%           5                 4    20.00%          73                46    36.99%          30                19    36.67%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_name.i                                              320               210    34.38%          23                10    56.52%         325               162    50.15%         136                96    29.41%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_nx509.i                                               4                 4     0.00%           4                 4     0.00%          13                13     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_pkey.i                                               26                26     0.00%           2                 2     0.00%          45                45     0.00%          18                18     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_pubkey.i                                            131               104    20.61%          17                12    29.41%         242               200    17.36%          82                70    14.63%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_req.i                                                15                15     0.00%          10                10     0.00%          38                38     0.00%           4                 4     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_sig.i                                                 4                 4     0.00%           4                 4     0.00%          13                13     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_spki.i                                                8                 8     0.00%           8                 8     0.00%          26                26     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_val.i                                                 4                 4     0.00%           4                 4     0.00%          13                13     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_x509.i                                               37                24    35.14%          20                 9    55.00%         120                67    44.17%          18                12    33.33%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/x_x509a.i                                             141               129     8.51%          18                16    11.11%         136               120    11.76%          78                72     7.69%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bf/bf_cfb64.i                                               12                12     0.00%           1                 1     0.00%          51                51     0.00%          10                10     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bf/bf_ecb.i                                                  5                 5     0.00%           2                 2     0.00%          15                15     0.00%           2                 2     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bf/bf_enc.i                                                 37                37     0.00%           3                 3     0.00%         136               136     0.00%          46                46     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bf/bf_ofb64.i                                                7                 7     0.00%           1                 1     0.00%          41                41     0.00%           6                 6     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bf/bf_skey.i                                                20                20     0.00%           1                 1     0.00%          40                40     0.00%          16                16     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/b_dump.i                                                51                51     0.00%           8                 8     0.00%          75                75     0.00%          34                34     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/b_posix.i                                               13                13     0.00%           3                 3     0.00%          13                13     0.00%           8                 8     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/b_print.i                                               18                18     0.00%           4                 4     0.00%          38                38     0.00%          10                10     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/b_sock.i                                               190               190     0.00%           8                 8     0.00%         300               300     0.00%         128               128     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bf_buff.i                                              236               236     0.00%           9                 9     0.00%         367               367     0.00%         178               178     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bf_nbio.i                                               64                64     0.00%           9                 9     0.00%         118               118     0.00%          44                44     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bf_null.i                                               44                44     0.00%           9                 9     0.00%          75                75     0.00%          28                28     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bio_cb.i                                                25                25     0.00%           1                 1     0.00%          74                74     0.00%          32                32     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bio_err.i                                                3                 0   100.00%           1                 0   100.00%           6                 0   100.00%           2                 0   100.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bio_lib.i                                              305               230    24.59%          51                38    25.49%         539               373    30.80%         204               161    21.08%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_acpt.i                                             133               133     0.00%          12                12     0.00%         262               262     0.00%         112               112     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_bio.i                                              246               246     0.00%          21                21     0.00%         508               508     0.00%         200               200     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_conn.i                                             198               198     0.00%          13                13     0.00%         393               393     0.00%         174               174     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_dgram.i                                            208               208     0.00%          13                13     0.00%         428               428     0.00%         224               224     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_fd.i                                                70                70     0.00%          11                11     0.00%         140               140     0.00%          72                72     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_file.i                                              92                49    46.74%          12                 4    66.67%         172                87    49.42%          82                47    42.68%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_mem.i                                               96                96     0.00%           9                 9     0.00%         186               186     0.00%          86                86     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_null.i                                              27                27     0.00%           8                 8     0.00%          50                50     0.00%          28                28     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bio/bss_sock.i                                              55                55     0.00%          10                10     0.00%         117               117     0.00%          52                52     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_add.i                                                121                39    67.77%           4                 0   100.00%         184                52    71.74%          86                37    56.98%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_asm.i                                               1336              1255     6.06%          10                 6    40.00%         452               345    23.67%         728               672     7.69%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_blind.i                                              143               143     0.00%          13                13     0.00%         170               170     0.00%          98                98     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_const.i                                                8                 8     0.00%           8                 8     0.00%         322               322     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_ctx.i                                                 90                22    75.56%          16                 3    81.25%         174                49    71.84%          60                21    65.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_depr.i                                                22                22     0.00%           3                 3     0.00%          29                29     0.00%          14                14     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_div.i                                                131                44    66.41%           1                 0   100.00%         148                43    70.95%         100                46    54.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_err.i                                                  3                 0   100.00%           1                 0   100.00%           6                 0   100.00%           2                 0   100.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_exp.i                                                630               630     0.00%           9                 9     0.00%         665               665     0.00%         448               448     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_exp2.i                                               170               170     0.00%           1                 1     0.00%         153               153     0.00%         124               124     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_gcd.i                                                392               292    25.51%           4                 3    25.00%         361               277    23.27%         284               229    19.37%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_gf2m.i                                               474               432     8.86%          19                17    10.53%         593               546     7.93%         316               293     7.28%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_kron.i                                                93                93     0.00%           1                 1     0.00%          75                75     0.00%          68                68     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_lib.i                                                380               169    55.53%          41                11    73.17%         594               227    61.78%         256               126    50.78%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_mod.i                                                104                96     7.69%          11                10     9.09%         121               115     4.96%          64                60     6.25%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_mont.i                                               162                62    61.73%           9                 3    66.67%         222                81    63.51%         112                60    46.43%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_mpi.i                                                 32                32     0.00%           2                 2     0.00%          58                58     0.00%          24                24     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_mul.i                                                461               421     8.68%           9                 7    22.22%         747               692     7.36%         390               372     4.62%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_nist.i                                               725               725     0.00%          12                12     0.00%         554               554     0.00%         132               132     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_prime.i                                              381               381     0.00%           8                 8     0.00%         292               292     0.00%         260               260     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_print.i                                              207               176    14.98%           9                 7    22.22%         260               217    16.54%         156               135    13.46%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_rand.i                                                88                88     0.00%           7                 7     0.00%         114               114     0.00%          62                62     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_recp.i                                               102               102     0.00%           7                 7     0.00%         136               136     0.00%          66                66     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_shift.i                                               98                38    61.22%           4                 1    75.00%         132                42    68.18%          68                32    52.94%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/bn/bn_sqr.i                                                 80                80     0.00%           3                 3     0.00%         130               130     0.00%          54                54     0.00%
